id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1713,1,32,1024,1,16,16,32,64,1,0.25306693294492555,256,32,1,RS,8,True,True,True,1024,128,True,1,21,5,2048,1,35,1,17,30,0.25494885714285714,8,True,0.005680519534302462,True,0.25683078134078874
1714,1,8,2048,1,128,16,64,512,30,0.19929700143373677,128,1,512,RS,32,False,True,False,1,512,False,30,28,1,1024,1,35,128,1,12,0.20110074285714286,1,True,0.005444527681694223,True,0.20290448428054894
1715,1,8,1,8,32,1,256,256,4,0.17076646178885443,256,128,128,RS,8,False,True,True,1024,128,True,1,27,1,128,1,35,1024,1,11,0.1720142,8,True,0.0037662522698300484,True,0.17326193821114558
1716,1,8,64,1,1,64,1,2048,1,0.1906183070571522,64,64,512,RS,8,False,True,False,128,1,True,30,8,1,512,1,35,2048,4,18,0.1918882285714286,1,False,0.0038332117610299014,True,0.193158150085705
1717,1,32,1024,1,512,512,256,512,3,0.12851057299954302,32,256,64,RS,1,True,True,False,1,64,False,1,1,3,1,8,35,1024,1,2,0.13080080000000002,1,False,0.006912966647849946,True,0.13309102700045702
1718,8,1,256,1,64,32,1,256,7,0.15536731154520864,256,1,64,RS,8,False,True,False,512,1024,True,4,9,1,2048,1,35,512,1,11,0.1566231142857143,8,False,0.003790594757489938,True,0.15787891702621995
1719,1,1,64,8,32,128,64,1,2,0.1818141145928869,16,1,1,RS,8,False,True,False,512,2048,True,9,1,9,256,1,35,256,24,1,0.18308965714285716,8,True,0.0038501786522027216,True,0.18436519969282741
1720,8,1,128,1,512,16,512,256,22,0.12641782483360764,64,32,64,RS,1,False,True,False,1024,256,False,30,1,14,1,8,35,512,19,1,0.12838382857142858,8,True,0.005934310558033144,True,0.1303498323092495
1721,1,8,128,8,128,256,16,512,23,0.16773953498177058,512,128,512,RS,1,True,True,False,1024,512,True,13,28,1,128,32,35,64,21,1,0.16924254285714285,1,False,0.004536774438442596,True,0.17074555073251513
1722,8,1,512,1,64,256,32,1024,20,0.1945945672375683,256,16,16,RS,1,False,True,False,1,1,True,9,15,1,512,8,35,512,1,18,0.19562297142857143,1,False,0.003104200531866588,True,0.19665137561957458
1723,1,1,512,1,64,32,32,1,1,0.21304353847015822,16,32,1,RS,1,True,True,False,512,1,False,29,5,1,2048,32,35,1,7,10,0.21552854285714285,1,False,0.007500895083132627,True,0.21801354724412747
1724,8,8,1,1,64,32,32,64,22,0.1524616090604431,16,64,16,RS,8,True,True,False,256,1,True,30,1,19,1,1,35,1024,10,1,0.15454620000000002,1,True,0.0062922617001247745,True,0.15663079093955695
1725,1,1,2048,1,16,32,128,64,13,0.28373756082235757,256,1,32,RS,1,False,False,True,1024,128,False,30,24,1,64,8,35,512,1,7,0.28641828571428574,8,True,0.008091670286946516,True,0.2890990106062139
1726,8,1,1,1,16,256,16,512,12,0.10670120707928377,32,128,64,RS,8,True,True,True,64,64,False,1,4,26,2048,1,35,1,1,25,0.10795999999999999,1,True,0.003799620507366491,True,0.1092187929207162
1727,1,32,1,1,64,512,256,1024,25,0.16966422589157415,1,32,512,RS,8,True,False,True,256,512,True,25,1,16,2048,1,35,1024,21,1,0.17083948571428573,8,False,0.003547478898529236,True,0.1720147455369973
1728,8,1,512,1,32,256,1,1024,29,0.13939673384810736,128,128,16,RS,1,True,True,False,2048,512,True,1,3,4,64,8,35,64,1,16,0.14065422857142856,1,True,0.003795701945891012,True,0.14191172329474977
1729,1,1,1,32,256,32,32,1,21,0.3010521241861498,128,64,64,RS,1,True,False,False,512,1024,False,29,1,1,512,32,35,512,1,11,0.3041149714285714,1,False,0.009245092661161884,True,0.30717781867099303
1730,1,1,64,32,256,1,32,2048,13,0.2967562267321258,32,64,64,RS,1,True,False,True,128,64,True,12,1,8,2048,32,35,128,1,29,0.29831437142857137,1,False,0.004703202921327513,True,0.2998725161250169
1731,8,1,512,1,16,256,32,512,1,0.22443942619426624,32,512,1,RS,1,True,True,True,1024,1,True,1,23,17,1,32,35,256,24,29,0.22539285714285714,1,True,0.0028778965348507813,True,0.22634628809144805
1732,1,32,512,1,128,64,256,1024,14,0.14620712336738728,16,16,128,RS,8,False,False,False,1024,2048,True,1,15,4,1024,8,35,2048,16,1,0.14693817142857143,1,False,0.002206641902280013,True,0.1476692194897556
1733,1,8,1,8,16,64,64,1024,7,0.15260363971381918,32,16,512,RS,1,True,False,True,64,2048,True,10,4,1,512,32,35,64,9,1,0.15530688571428572,1,False,0.008159649431445056,True,0.15801013171475226
1734,1,8,256,8,64,64,128,64,12,0.17702680671968687,256,128,128,RS,1,True,True,True,2048,1,True,7,1,2,64,8,35,128,15,1,0.1784096857142857,8,False,0.004174169794420572,True,0.17979256470888452
1735,8,8,256,1,1,64,128,64,30,0.163372735704489,64,128,512,RS,8,True,True,False,128,1024,False,26,18,1,1024,1,35,2048,5,1,0.16654282857142857,1,False,0.009568809666189159,True,0.16971292143836814
1736,8,1,1024,1,16,16,512,256,1,0.08699460941615102,1,256,1,RS,1,False,True,True,1,512,False,1,6,13,2048,1,35,2048,2,15,0.08954202,1,False,0.0076892659116384885,True,0.09208943058384898
1737,1,32,2048,1,64,16,128,1,9,0.22608598057928228,1,128,16,RS,1,True,True,False,2048,512,True,1,9,18,256,8,35,1,1,18,0.22741705714285712,1,False,0.00401780604625287,True,0.22874813370643196
1738,1,1,2048,8,16,1,16,256,1,0.15906713692957092,16,512,512,RS,32,True,True,True,64,2048,False,1,25,14,1024,1,35,128,12,20,0.1602112857142857,1,True,0.0034535713653419996,True,0.16135543449900047
